#Channel A = UTC_IT
#Channel B = 1PPS OUT HROG
#Channel measurement setting = B-A
#TIC reference frequency = 10 MHz UTC(IT)
#MJD 53230A_meas
60375.00001339373 +1.84004263498813E-007
60375.00002496694 +1.83984732248813E-007
60375.00003654016 +1.84004263498813E-007
60375.000048113376 +1.83994497873813E-007
60375.00005968659 +1.83994497873813E-007
60375.00007125981 +1.84009146311313E-007
60375.000082923136 +1.83994497873813E-007
60375.00009449635 +1.83994497873813E-007
60375.00010597945 +1.83994497873813E-007
60375.00011755267 +1.84009146311313E-007
60375.00012912588 +1.84004263498813E-007
60375.00014069909 +1.83994497873813E-007
60375.0001522723 +1.83984732248813E-007
60375.00016384553 +1.83994497873813E-007
60375.00017541874 +1.84033560373813E-007
60375.00018699196 +1.83979849436313E-007
60375.000198565176 +1.83994497873813E-007
60375.000210138394 +1.83994497873813E-007
60375.000221711605 +1.84009146311313E-007
60375.00023328482 +1.84004263498813E-007
60375.000244858034 +1.83994497873813E-007
60375.000256431245 +1.84004263498813E-007
60375.00026800446 +1.84004263498813E-007
60375.000279577696 +1.84018911936313E-007
60375.000291150616 +1.83994497873813E-007
60375.00030272381 +1.83994497873813E-007
60375.00031429733 +1.84004263498813E-007
60375.000325870526 +1.83984732248813E-007
60375.00033744375 +1.83979849436313E-007
60375.00034901698 +1.83994497873813E-007
60375.00036059019 +1.83994497873813E-007
60375.000372253526 +1.84009146311313E-007
60375.00038382674 +1.84009146311313E-007
60375.000395309835 +1.83994497873813E-007
60375.000406882755 +1.83994497873813E-007
60375.000418455966 +1.84018911936313E-007
60375.00043002948 +1.84004263498813E-007
60375.00044160269 +1.84004263498813E-007
60375.00045317592 +1.84004263498813E-007
60375.00046474912 +1.83994497873813E-007
60375.000476322326 +1.83994497873813E-007
60375.00048789555 +1.83984732248813E-007
60375.00049946878 +1.84004263498813E-007
60375.000511041995 +1.84004263498813E-007
60375.00052261521 +1.83994497873813E-007
60375.000534188424 +1.84009146311313E-007
60375.000545761635 +1.83979849436313E-007
60375.000557334846 +1.83970083811313E-007
60375.00056890807 +1.83984732248813E-007
60375.00058048128 +1.83994497873813E-007
60375.00059205449 +1.83984732248813E-007
60375.00060362771 +1.83994497873813E-007
60375.000615200945 +1.84009146311313E-007
60375.000626773864 +1.84004263498813E-007
60375.00063834707 +1.83994497873813E-007
60375.00064992058 +1.84009146311313E-007
60375.00066149379 +1.84004263498813E-007
